Name Of Company,Address,Postal Code,City,Province,Category,Latitude,Longitude,Activity,Outdoor
Thunder Bay Golf & Beach Park,Po Box 179,L0S 1N0,Ridgeway,ON,Golf courses and country clubs,42.874782,-79.059035,Golf,Yes
Thundering Waters Golf Course,6000 Marineland Pky,L2E 6X8,Niagara Falls,ON,Golf courses and country clubs,43.057531,-79.048102,Golf,Yes
Tintern Church,4357 Springcreek Rd,L0R 2C0,Beamsville,ON,Sports stadiums and other presenters with facilities,43.102797,-79.462278,Soccer,Yes
Total Golf System,36 Ridge Rd S,L0S 1N0,Ridgeway,ON,Golf courses and country clubs,42.874782,-79.059035,Golf,Yes
Trelawn Park,140 Royal Oak Dr,L3C 6E4,Welland,ON,Sports stadiums and other presenters with facilities,43.01747,-79.252642,Baseball,Yes
Triangle Park,210 Southworth St,L3B 1X8,Welland,ON,Nature parks and other similar institutions,42.974385,-79.236694,,
Unison Golf Systems Inc,120 Lakeshore Rd,L0S 1J0,Niagara-on-the-lake,ON,Golf courses and country clubs,43.214832,-79.217142,Golf,Yes
Upper & Lower Rock Street,200 Rock Street,L0R 2A0,Smithville,ON,Sports stadiums and other presenters with facilities,42.993711,-79.67678,Soccer,Yes
Vale Health & Wellness Centre,550 Elizabeth St,L3K 5W3,Port Colborne,ON,Sports stadiums and other presenters with facilities,42.88787,-79.23476,Baseball,Yes
Vimy Park,670 Fielden Ave,,Port Colborne,ON,Sports stadiums and other presenters with facilities,42.896557,-79.25795,Baseball,Yes
Vineland Public School,4057 Victoria Ave,L0R 2E0,Vineland,ON,Sports stadiums and other presenters with facilities,43.158156,-79.391991,Soccer,Yes
Wainfleet Arena,1943 Park St,L0S 1V0,Wainfleet,ON,Sports stadiums and other presenters with facilities,42.922691,-79.375203,Ice Hockey,
Walkinshaw Park,15 Henrietta St,,St. Catharines,ON,Sports stadiums and other presenters with facilities,,,Baseball,Yes
Water Park Golf & Country Club,81174 Regional Rd 27,L0S 1V0,Wainfleet,ON,Golf courses and country clubs,42.925722,-79.388195,Golf,Yes
Waterview Park,179 Waterview Crt,L3C 7J1,Welland,ON,Nature parks and other similar institutions,42.982681,-79.273046,,
Welland Main Arena,501 King St W,L3B 3K4,Welland,ON,Sports stadiums and other presenters with facilities,42.980948,-79.252289,Ice Hockey,
Welland Youth & Main Arenas,501 King Street West,L3B 3K4,Welland,ON,Fitness and recreational sports centres,43.920692,-79.527838,Ice Hockey,
West Lincoln Arena & Community Centre,177 West St,L0R 2A0,Smithville,ON,Sports stadiums and other presenters with facilities,43.095951,-79.566682,Ice Hockey,
West Side Arena,54 West Side Rd,,Port Colborne,ON,Sports stadiums and other presenters with facilities,43.161591,-89.917457,Baseball,Yes
Westlane High School,5960 Pitton Rd,L2H 1T5,Niagara Falls,ON,Sports stadiums and other presenters with facilities,43.057531,-79.048102,Soccer,Yes
Westport Golf Practice & Training Facility,1406 Third St,L2R 6P9,St. Catharines,ON,Golf courses and country clubs,43.165882,-79.301663,Golf,Yes
Whirlpool Golf Course,3351 Niagara River Pkwy,L2E 6T2,Niagara Falls,ON,Golf courses and country clubs,43.12397857,-79.07825422,Golf,Yes
Whisky Run Golf Club,631 Lorraine Rd,L3K 5V3,Port Colborne,ON,Golf courses and country clubs,42.877513,-79.212044,Golf,Yes
White Oakes Resort,253 Taylor Rd,L0S 1J0,Niagara-on-the-lake,ON,Golf courses and country clubs,43.156089,-79.166892,Tennis,
"Willodell Country Club",10325 Willodell Rd,L0S 1K0,Port Robinson,ON,Golf courses and country clubs,43.020144,-79.112167,Golf,Yes
Willson Park,43 Endicott Terr,L3C 5A9,Welland,ON,Nature parks and other similar institutions,42.989879,-79.27008,,
Winfield Park,27 Countryside Drive,L3C 6Z1,Welland,ON,Nature parks and other similar institutions,43.015799,-79.283557,,
Winstonville Playgound,38 Wavell Crt,L3B 2E6,Welland,ON,Nature parks and other similar institutions,42.990416,-79.241105,Field,Yes
Woodlawn Park,400 Woodlawn Rd,L3C 5Y7,Welland,ON,Nature parks and other similar institutions,42.990416,-79.241105,,
Wrcc Lands,92 Niagara St,L3C 1J1,Welland,ON,Nature parks and other similar institutions,42.990064,-79.241318,,
Ymca St. Catharines,25 Ymca Dr,L2N 7P9,St. Catharines,ON,Fitness and recreational sports centres,43.178993,-79.24496,Weightlifting,
Youngs Sportsplex,570 River Rd,L3B 5N4,Welland,ON,Sports stadiums and other presenters with facilities,42.990086,-79.231951,Soccer,Yes
